14;24-3-2;9.00
14;24-3-3;10.00
14;24-3-4;4.00
14;24-3-5;6.50
14;24-3-6;13.00
14;24-3-7;8.00
14;24-3-8;1.40
14;24-4-2;8.00
14;24-4-4;8.40
14;24-4-5;8.70
14;24-4-6;8.20
15;21-1-1;4.40
15;21-1-4;11.00
15;21-1-6;11.50
15;21-2-6;12.00
15;21-3-1;11.00
15;21-3-5;10.00
15;21-3-6;12.00
15;21-5-1;6.70
15;22-1-6;7.30
15;22-1-7;14.00
15;22-3-2;7.00
15;22-3-3;6.00
15;23-3-4;10.00
15;23-3-6;9.00
15;23-5-2;12.40
15;23-5-5;12.00
15;23-5-6;13.00
15;23-5-7;14.70
17;22-1-2;5.70
17;22-1-3;0.00
17;22-1-7;8.70
17;22-2-2;10.20
17;22-2-4;8.40
17;22-2-6;10.00
17;22-3-2;6.70
17;22-3-3;4.20
17;22-3-5;6.00
17;22-3-6;10.00
17;22-4-1;9.60
17;22-4-5;5.10
17;22-5-1;9.60
17;22-5-3;8.50
17;22-5-5;10.00
17;23-1-1;6.40
17;23-1-3;7.80
17;23-1-4;10.00
17;23-1-6;10.00
17;23-1-7;13.40
17;23-2-1;10.00
17;23-2-3;0.80
17;23-2-6;7.20
17;23-2-7;5.50
17;23-3-1;9.00
17;23-3-4;10.00
17;23-4-3;10.00
17;23-4-4;9.60
17;23-4-5;11.00
17;23-5-2;12.10
17;24-1-5;12.00
17;24-2-2;9.00
17;24-3-1;12.00
17;24-4-1;10.00
17;24-5-6;0.00
17;25-1-4;8.80
17;25-2-4;13.00
17;25-4-5;4.30
17;26-1-3;8.00
17;26-2-3;10.00
17;26-3-7;12.00
17;26-4-1;10.00
17;26-4-2;8.60
17;26-4-3;5.30
17;26-4-7;9.00
17;26-5-4;11.00
19;21-1-1;8.10
19;21-1-5;7.40
19;21-2-1;6.80
19;21-2-5;4.20
19;21-4-2;3.90
19;21-5-1;2.00
19;22-1-2;7.40
19;22-2-5;6.60
19;22-3-1;4.20
20;22-1-2;4.40
20;22-2-1;5.30
20;22-2-5;7.70
20;22-3-1;0.00
20;22-3-4;5.40
20;22-4-1;7.20
20;22-4-7;4.60
20;22-5-7;7.70
21;21-1-1;8.50
21;21-1-2;8.60
21;21-1-3;9.70
21;21-1-4;10.90
21;21-1-5;6.40
21;21-1-6;11.50
21;21-2-1;8.40
21;21-2-2;9.00
21;21-2-3;7.70
21;21-2-4;6.20
21;21-2-5;8.40
21;21-2-6;11.00
21;21-3-3;4.00
21;21-3-4;5.50
21;21-3-5;10.00
21;21-3-6;12.00
21;21-4-1;8.00
