Albertov;Praha;P;458540.0278988383;5546339.9805995505
Albertov;Praha;P;458566.99946017895;5546347.7573204115
Ametystová;Praha;P;454280.9463022926;5537513.624875016
Amforová;Praha;P0;451831.4019709933;5543492.586347811
Anděl;Praha;P;457272.6439700087;5546761.833228174
Anděl;Praha;P;457295.929727316;5546718.077608942
Anděl;Praha;P;457332.0122998238;5546578.237842497
Anděl;Praha;P;457359.70239983045;5546742.043423678
Antala Staška;Praha;P;460213.59795058065;5543404.622326663
Apolinářská;Praha;P;458978.3187136842;5546738.8700359715
Arbesovo náměstí;Praha;P;457360.4258607821;5547258.274149887
Arbesovo náměstí;Praha;P;457467.1564501771;5547303.6454088455
Archeologická;Praha;P;452586.9090998532;5543745.865045446
Argentinská;Praha;P;460185.52097282937;5550237.19164106
Argentinská;Praha;P;460193.8136966131;5550201.117133351
Avia Letňany;Praha;P0;465396.5136678181;5554501.687679003
Baba I;Praha;P0;458080.28082124493;5538600.278011679
Baba II;Praha;P0;458079.6724664661;5538747.775103483
Babice,Babičky;Babice;2;480376.69018180063;5539710.486983459
Babice,U hřiště;Babice;2;479866.3484965533;5539752.585885993
Babice;Babice;2;479567.2045711309;5539545.305083117
Bachova;Praha;P;464831.96286473976;5542225.454152145
Bahno;Černíny;6;515838.5052857517;5523711.21376623
Bakov nad Jizerou město;Bakov n.Jiz.;8;495688.89776779374;5591893.369352667
Bakov nad Jizerou;Bakov n.Jiz.;8;494516.86403634335;5591127.000241812
Bakovská;Praha;PB;467786.96394871146;5553720.264185151
Bakovská;Praha;PB;467787.73801430094;5553683.760192458
Balabenka;Praha;P0;463003.99060883035;5550254.338423535
Balabenka;Praha;P;463002.11413311545;5550365.727778737
Balkán;Praha;P0;463968.5426063988;5549292.97658261
Baně;Praha;P;455457.3436862312;5533542.526129289
Baně;Praha;PB;455461.6507620841;5533554.026937463
Barchovice,Hryzely;Barchovice;5;498754.2811621744;5531475.757467963
Barchovice,Obecní úřad;Barchovice;5;497737.2233309697;5532514.335858916
Barchovice,Radlice;Barchovice;5;496118.5042191712;5531342.568696156
Barchovice,rozc.Radlice;Barchovice;5;496666.2148799539;5532963.646628292
Barchovice;Barchovice;5;497795.1743494401;5532278.171104901
Barrandovská;Praha;P;456733.93451053655;5542311.039576616
Barvy a laky;Praha;P;466869.07610492106;5546016.350299993
Basilejské náměstí;Praha;P;462160.54603380244;5548463.4771312075
Baterie;Praha;P;454909.2887818109;5549093.891703081
Bavorská;Praha;P;450679.9206892196;5544902.0467272205
Bavoryně,rozc.;Bavoryně;5;425374.82953929424;5528054.966757977
Bavoryně;Bavoryně;5;425392.17931934394;5527532.7151111765
Bazar;Praha;PB;476503.1990898224;5549662.017032133
Bazovského;Praha;P;450444.0351469652;5546327.890540417
Bazén Hloubětín;Praha;P0;466788.3474361525;5550350.068790649
Bašteckého;Praha;P;452463.0400768686;5543282.575611859
Bašť,Baštěk;Bašť;1;461655.41235882684;5561501.668193491
Bašť,Měšická;Bašť;1;463227.8103442377;5561255.887757671
Bašť;Bašť;1;462456.37259404914;5561497.335823141
Bdín;Bdín;6;418313.70493000234;5563376.567143474
Bechlín,ObÚ;Bechlín;6;453181.9911291271;5585124.204620043
Bechov;Dolní Bousov;8;506061.75010884396;5587128.25903955
Belárie;Praha;P0;457143.4764592721;5540279.277350406
Benešov u Prahy;Benešov;5;477165.98170549195;5514163.392643379
Benešov,Antuškova;Benešov;5;477608.38411438576;5514976.66776725
Benešov,Benea;Benešov;5;476964.79911010794;5513427.932437131
Benešov,Benica;Benešov;5;476656.5155190177;5513847.447586684
Benešov,Buková Lhota,rozc.;Benešov;5;474388.84916084475;5517874.6195605425
Benešov,Buková Lhota;Benešov;5;474767.0614905826;5518271.290683924
Benešov,Dukelská;Benešov;5;477219.49779347534;5514500.306144165
Benešov,Galerie Červené Vršky;Benešov;5;477018.08447406266;5515579.06810789
Benešov,Hráského;Benešov;5;477987.40588852577;5514163.116756171
Benešov,Jana Nohy;Benešov;5;476993.28747707355;5513828.269359997
Benešov,Jiráskova;Benešov;5;477511.5207230182;5514277.169732046
Benešov,Jiřího Franka;Benešov;5;477838.2282318493;5515182.988489395
Benešov,K Tužince;Benešov;5;477664.12707306055;5515656.514391845
Benešov,Kaufland;Benešov;5;477113.8182397381;5515719.479104529
Benešov,Ke Stadionu;Benešov;5;476725.0120124582;5514057.069017631
Benešov,Konopiště,informační centrum;Benešov;5;475158.3714122054;5514211.993159252
Benešov,Konopiště,sv.Anna;Benešov;5;475318.2962563798;5513459.992493091
Benešov,Konopiště,sádky;Benešov;5;474878.8762497385;5513333.295851364
Benešov,Konopiště,Šiberna;Benešov;5;476165.63600859896;5513506.238498376
Benešov,Konopiště;Benešov;5;475334.4637154996;5514497.99613315
Benešov,Konopišťská;Benešov;5;476977.79378352495;5514355.5542683555
Benešov,Křižíkova;Benešov;5;476828.67837538046;5513134.154293805
Benešov,Lidl;Benešov;5;477204.14238937997;5515235.22207924
Benešov,Mariánovice,rozc.;Benešov;5;477038.8200454771;5512601.617881307
Benešov,Mariánovice;Benešov;5;477476.23180143785;5512295.682776808
Benešov,Masarykovo náměstí;Benešov;5;477677.1617709742;5514592.761474645
Benešov,Mydlářka;Benešov;5;476259.02665010525;5514768.653783871
Benešov,MŠ Úsměv;Benešov;5;478062.7030257411;5515315.9984714575
Benešov,Na Bezděkově;Benešov;5;477780.91008838726;5514452.956284625
Benešov,Na Chmelnici;Benešov;5;478109.76646033436;5514325.050532581
